1	3	5
1358	1483	1462
1483	1588	1462
1339	1400	1432
1432	1407	1339
1432	1491	1407
1491	1456	1407
1384	1418	1494
1418	1482	1494
1482	1594	1494
1482	1560	1594
1393	1543	1529
1410	1469	1465
1469	1660	1465
1660	1527	1465
1416	1541	1442
1541	1509	1442
1425	1559	1497
1426	1538	1585
1435	1445	1486
1445	1610	1486
1486	1444	1435
1444	1262	1435
1444	1337	1262
1441	1576	1500
1441	1456	1576
1441	1385	1456
1459	1523	1467
1467	1469	1459
1463	1477	1517
1517	1564	1463
1517	1628	1564
1628	1668	1564
1668	1694	1564
1628	1700	1668
1517	1528	1628
1517	1477	1528
1466	1488	1629
1488	1682	1629
1488	1626	1682
1488	1490	1626
1490	1571	1626
1571	1608	1626
1608	1777	1626
1608	1788	1777
1788	1902	1777
1902	1833	1777
1902	1983	1833
1983	2006	1833
2006	1885	1833
1983	2176	2006
2176	2206	2006
2206	2033	2006
1983	2048	2176
2048	2213	2176
2213	2252	2176
2048	2167	2213
2167	2241	2213
2167	2215	2241
2167	2214	2215
1983	1902	2048
1788	1770	1902
1788	1608	1770
1608	1705	1770
1705	1789	1770
1705	1725	1789
1725	1870	1789
1705	1678	1725
1705	1516	1678
1516	1498	1678
1705	1608	1516
1608	1571	1516
1480	1547	1512
1547	1452	1512
1487	1607	1526
1526	1400	1487
1400	1387	1487
1487	1561	1607
1492	1496	1549
1495	1633	1593
1633	1680	1593
1515	1647	1545
1647	1783	1545
1783	1800	1545
1800	1803	1545
1803	1775	1545
1775	1572	1545
1572	1499	1545
1803	1873	1775
1783	1830	1800
1830	1990	1800
1530	1575	1542
1567	1623	1663
1578	1738	1586
1586	1372	1578
1586	1513	1372
1599	1716	1635
1716	1727	1635
1716	1829	1727
1599	1653	1716
1653	1741	1716
1600	1634	1614
1600	1740	1634
1740	1798	1634
1798	1681	1634
1605	1703	1711
1703	1850	1711
1850	1862	1711
1862	1930	1711
1930	1804	1711
1930	1979	1804
1930	2003	1979
2003	2168	1979
2003	2158	2168
2158	2317	2168
2317	2327	2168
2327	2302	2168
2302	2172	2168
2172	2114	2168
2114	2090	2168
2114	2065	2090
2114	2072	2065
2072	2026	2065
2026	1903	2065
2072	2046	2026
2072	2119	2046
2327	2325	2302
2327	2490	2325
2490	2449	2325
2490	2553	2449
2553	2503	2449
2553	2620	2503
2620	2608	2503
2608	2523	2503
2523	2481	2503
2523	2537	2481
2537	2408	2481
2537	2540	2408
2540	2379	2408
2537	2667	2540
2667	2658	2540
2667	2723	2658
2667	2727	2723
2667	2749	2727
2749	2803	2727
2803	2945	2727
2803	2941	2945
2941	3069	2945
3069	3054	2945
3054	3062	2945
3062	2918	2945
3062	3049	2918
3049	2871	2918
3049	2849	2871
3049	3074	2849
2749	2841	2803
2749	2620	2841
2749	2608	2620
2749	2667	2608
2667	2523	2608
2667	2537	2523
2327	2497	2490
2327	2436	2497
2327	2317	2436
2003	2031	2158
2003	1930	2031
1703	1696	1850
1696	1808	1850
1696	1731	1808
1731	1816	1808
1696	1645	1731
1645	1734	1731
1703	1665	1696
1630	1838	1773
1773	1514	1630
1838	1890	1773
1838	1913	1890
1913	2030	1890
1913	2019	2030
1913	2077	2019
1643	1684	1679
1651	1717	1898
1717	1945	1898
1945	1942	1898
1942	1909	1898
1945	2130	1942
1945	2140	2130
2140	2245	2130
2140	2228	2245
2228	2278	2245
2140	2143	2228
2143	2289	2228
2143	2182	2289
2182	2342	2289
2342	2363	2289
2342	2323	2363
2323	2350	2363
